key,cz,en
inmny.godtools.ui.filter.race.human,人类,Humans
inmny.godtools.ui.filter.cultisys,修炼体系,Cultisys
inmny.godtools.ui.filter.cultisys.xian,仙路,Xian
inmny.godtools.ui.filter.worldlog.type,事件类型,WorldLog Type
inmny.godtools.ui.sort.ascending,升序,Ascending
inmny.godtools.ui.sort.descending,降序,Descending
inmny.godtools.ui.keyword,关键词,Keywords
inmny.godtools.ui.keyword.vanilla,原版,Vanilla
inmny.godtools.ui.keyword.vanilla.level,等级,Level
inmny.godtools.ui.keyword.vanilla.kills,击杀,Kills
inmny.godtools.ui.keyword.vanilla.birth,年龄,Age
inmny.godtools.ui.keyword.vanilla.max_health,最大生命值,Max Health
inmny.godtools.ui.keyword.vanilla.damage,攻击力,Damage
inmny.godtools.ui.keyword.vanilla.births,生育孩子数量,Births
inmny.godtools.ui.keyword.inmny_custommodt001,特质武道,Inmny CustomMod T1
inmny.godtools.ui.keyword.inmny_custommodt001.talent,武道天赋,Talent
inmny.godtools.ui.keyword.inmny_custommodt001.level,武道境界,Level
inmny.godtools.ui.keyword.inmny_custommodt002,召唤物,Inmny CustomMod T2
inmny.godtools.ui.keyword.inmny_custommodt002.summon_count,召唤物数量,Summon Count
inmny.godtools.ui.keyword.inmny_custommodt002.summon_level,召唤师等级,Summon Level
inmny.godtools.ui.keyword.cultiway,修仙,Cultiway
inmny.godtools.ui.keyword.cultiway.xian_level,仙路等级,Xian Level
inmny.godtools.ui.keyword.cultiway.xian_talent,灵根品级,Xian Talent
inmny.godtools.ui.keyword.cultiway.spell_count,法术数量,Spell Count
inmny.godtools.ui.keyword.cultiway.apprentice_count,徒弟数量,Apprentice Count
inmny.godtools.ui.keyword.cultiway.main_cultibook_level,主修功法等阶,Main Cultibook Level
inmny.godtools.ui.keyword.wushu,巫术秘典,Cultiway
inmny.godtools.ui.keyword.wushu.yuanneng,源能,Yuan Neng
inmny.godtools.ui.keyword.zhetian,遮天,Cover Sky
inmny.godtools.ui.keyword.zhetian.talent,遮天天赋,Talent
inmny.godtools.ui.keyword.zhetian.level,遮天境界,Level
inmny.godtools.ui.keyword.doupocangqiong,斗破苍穹,DouPoCangQiong
inmny.godtools.ui.keyword.doupocangqiong.talent,斗破天赋,Talent
inmny.godtools.ui.keyword.doupocangqiong.level,斗破境界,Level
inmny.godtools.ui.keyword.guimi_mod,诡秘之主,GuiMi
inmny.godtools.ui.keyword.guimi_mod.xulie,灵性,Xu Lie
inmny.godtools.ui.keyword.guimi_mod.jin_bang,金磅,Jin Bang
inmny.godtools.ui.to_top,至顶,Goto Top
inmny.godtools.ui.to_bottom,至底,Goto Bottom
inmny.godtools.ui.jump_to,跳转至,Jump to
inmny.godtools.ui.jump_to_year,跳转至(年),Jump to Year
inmny.godtools.ui.segment_chart.no_data,暂无可统计数据,No data to display
inmny.godtools.ui.segment_chart.select_keyword,选择关键词后显示分段分布,Select a keyword to display distribution
inmny.godtools.ui.data_editor.chinese_name,中文名,Chinese Name
inmny.godtools.ui.data_editor.chinese_name.family_name,姓氏,Family Name
inmny.godtools.ui.data_editor.inmny_custommodt001,特质武道,Inmny CustomMod T001
inmny.godtools.ui.data_editor.inmny_custommodt001.talent,武道天赋,Talent
inmny.godtools.ui.data_editor.inmny_custommodt001.wudao_level,武道等级,Level
inmny.godtools.ui.data_editor.inmny_custommodt001.wudao_exp,武道经验,Experience
inmny.godtools.ui.data_editor.cultiway,修仙,Cultiway
inmny.godtools.ui.data_editor.cultiway.power_level,力量层次,Power Level
inmny.godtools.ui.data_editor.zhetian,遮天,Cover Sky
inmny.godtools.ui.data_editor.zhetian.talent,遮天天赋,Talent
inmny.godtools.ui.data_editor.zhetian.zhetian_level,遮天等级,Level
inmny.godtools.ui.world_script.enabled,已启用,Enabled
inmny.godtools.ui.world_script.disabled,已禁用,Disabled
inmny.godtools.ui.world_script.delete,删除,Delete
inmny.godtools.ui.world_script.add_script,添加脚本,Add Script
inmny.godtools.WindowModInfo,模组介绍,Mod Info
inmny.godtools.debug,DEBUG窗口,Debug Window
inmny.godtools.console,控制台,Console
inmny.godtools.debug_info,详细信息,Detailed Debug Info
inmny.godtools.benchmark,性能测试,Benchmark
inmny.godtools.WindowTops,世界生物相关排行,World Tops
inmny.godtools.WindowTops Title,世界生物相关排行,World Tops
inmny.godtools.WindowSubWorldCreator,创建亚空间,Create Sub World
WindowModInfo,模组介绍,Mod Info
WindowCreatureDataEditor,生物数据修改,Creature Data Editor
WindowCreatureDataEditor Title,生物数据修改,Creature Data Editor
WindowCreatureDataEditor Description,<color=yellow>警告！可能会导致bug</color>\n<color=red>谨慎使用</color>,Creature Data Editor
WindowCreatureSpriteEditor,生物贴图修改,Creature Sprite Editor
WindowCreatureSearch,生物搜索,Creature Search
WindowCreatureSavedList Title,保存的生物,Saved Creatures
WindowCreatureSavedList,保存的生物,Saved Creatures
WindowConsistentCreaturePowerTop,历史生物战力排行,History Creature Power Top
WindowCreatureTitleEditor,称号编辑器,Title Editor
WindowPrinterEditor,打印蚁编辑器,Printer Editor
WindowDetailedHistory,详细历史信息,Detailed History
WindowDetailedHistory Title,详细历史信息,Detailed History
WindowWorldScript,世界脚本,World Script
WindowWorldScript Title,世界脚本,World Script
GodTools.General,通用,General
GodTools.General.AgeLightChangeSpeed,纪元光线变化速度,Age Light Change Speed
GodTools.General.AgeLightChangeSpeed Description,调整纪元切换时光线/遮罩淡入淡出的速度倍率,Adjusts the fade speed multiplier for age light and overlay changes
GodTools.General.DarkAgeOverlayAlpha,黑夜纪元黑暗程度,Dark Age Darkness
GodTools.General.DarkAgeOverlayAlpha Description,调整黑夜纪元的遮罩透明度,Adjusts age_dark era effect overlay alpha
GodTools.General.HideCursor,隐藏光标,Hide Cursor
GodTools.General.HideCursor Description,隐藏光标,Hide Cursor
GodTools.General.HideDrop,隐藏掉落物,Hide Drop
GodTools.General.HideDrop Description,隐藏掉落物,Hide Drop
